question,answers1,answers2,answers3,correct,comment
9.アジア諸国の首都のうち、直線距離で萩から最も近いのはどれ？,東京,ソウル,北京,2,萩からソウルまで約500㎞、東京まで約800㎞、北京まで約1500㎞。
15.次のうち、天然記念物に指定されているものはどれ？,萩城跡の堀,明神池,明倫館の水蓮池,2,萩城跡の堀や水蓮池は歴史上の学術的価値が高い遺構として「史跡」に指定されている。
18.萩に活火山はある？,はい,いいえ,わかっていない,1,笠山は約8800万年前に噴火した活火山である。
28.畳ヶ淵と龍鱗郷には変わった形の石が多く並んでいる。それらはどんな形？,円柱,四角柱,六角柱,3,畳ヶ淵も龍鱗郷も、伊良尾山の噴火で吹き出した溶岩が冷えて固まる時に収縮して六角柱の形に割れてできたもので、「柱状節理」とよばれる。
33.萩付近にはたくさんの火山があるが、次のうち火山でないものはどれ？,伏馬山,羽賀台,田床山,3,田床山は火山ではなく、約１億年前に火山が噴火してできた地層の一部でできている。
43.萩市の一部の海岸で見られる、踏むと「キュッキュッ」と音が鳴る砂をなんという？,響砂（ひびきすな）,鳴砂（なきすな・なりすな）,音砂（おとすな）,2,石英の粒が多い、粒の大きさが均一、ごみが少ないなどの条件が揃っていると、踏んだ時に音がする。
45.黄砂はどこから飛んでくる？,市内各地の砂浜,沖縄や台湾,中国やモンゴル,3,黄砂は中国やモンゴルの砂漠や乾燥地帯の砂埃が、強風で上空に巻き上げられ、日本各地に降り注ぐもの。
46.島根県の市町村で萩市に接していないのは次のうちどこ？,益田市,浜田市,津和野町,2,山口県の阿武町、山口市、長門市、美祢市と、島根県の益田市、津和野町と接している。
56.赤潮とは、海の中であるものが異常に増えて海が変色して見える現象である。あるものとは？,赤土,プランクトン,銅の粉末,2,赤潮とは海水中の栄養分が増加するなどの原因により、特定のプランクトンが異常に増えてジャイ水が変色して見える現象で、萩近海でも春を中心にときどき発生する。
62.萩の「市の木」に指定されているのは次のうちどれ？,ヒノキ,ツバキ,ハギ,1,「市の木」はヒノキとマツ。ツバキとハギは「市の花」。そのほか、夏みかんは「市の果樹」に指定されている。
104.萩でよく食べられる海藻で、漢字で「水雲」と書くものは何？,ワカメ,ヒジキ,モヅク,3,モヅクは、ホンダワラなどの大きな階層にくっつくため、「藻付く」と呼ばれるなど名前の由来に諸説があるが、漢字では「水雲」と書かれる。
107.水溜まりの上にせり出した木の枝に、ケーキに使うメレンゲのような泡の卵塊をぶら下げるカエルはどれ？,トノサマガエル,モリアオガエル,ニホンヒキガエル,2,モリアオガエルは日本固有のカエル。モリアオガエルが生息して行くことができる、湖沼の周りに雑木林があるような環境が減ってきている。
110.萩を含む日本本土の野山で見られるヘビのうち、マムシ以外で毒があるのはどれ？,ヤマカガシ,シマヘビ,アオダイショウ,1,ヤマカガシは昔は無毒とされていたが、後に強い毒があることが分かった。
114.むつみ地域や田万川地域でクマが出没することがあるが、その種類は？,ツキノワグマ,ヒグマ,ツキノワグマとヒグマ,1,ツキノワグマによる獣害が生じているが、近年広葉樹の伐採や交通事故などにより、数が減っている。ヒグマは日本では北海道にしか生息していない。
117.次の島々のうち、渡り鳥の中継地として全国に知られている島はどこ？,大島,見島,相島,2,絶海の孤島の見島は、対馬や舳倉島と共に格好の休憩地になっている。
125.萩の漁港などでウミネコという鳥をよく見かけるが、その名前の由来は？,猫のような声で鳴く,餌をめぐって猫と争う,ネズミをよく捕らえて食べる,1,猫のように「ミャーオ、ミャーオ」と鳴くためその名がついた。海辺に住む日本を代表する中型のカモメの仲間。
128.笠山のふもとにある明神池には、主にどんな魚が住んでいる？,コイやフナなどの淡水魚,サケやアユなどの川と海を行き来する魚,タイやエイなどの海水魚,3,明神池は、笠山と本土の間に砂洲ができて陸続きになっていた時に埋め残された池。溶岩の隙間を通じて海と繋がっているため、海水魚が住んでいる。
