question,answers1,answers2,answers3,correct,comment
1.ジオパークの日はいつ？(2),5月10日,8月22日,9月20日,2,ジオパークの日は8月22日。5月10日は地質の日、9月20日は萩ジオパークが日本ジオパーク委員会から日本ジオパークに認定された日
2.萩ジオパークが日本ジオパークに認定されたのは何年？(4),平成28年(2016年),平成29年(2017年),平成30年(2018年),3,平成30年9月20日に日本ジオパーク委員会が開催され、萩ジオパークの日本ジオパークネットワーク加盟が認められた。
3.海外の有名首都のうち、緯度（南北の位置）が最も萩に近いものはどれ？(10),ロサンゼルス,ローマ,上海,1,緯度とは、地球上のある地点の南北の位置を表す座標のこと。萩市の緯度は（市役所を基準）北緯34度24分で、ロサンゼルスとほぼ同じ。
4.次の西日本の都市のうち、経度（東西の位置）が最も萩に近いものはどれ？(11),松山市(愛媛県),熊本市,宮崎市,3,経度は地球上のある地点の東西の位置を表す座標。萩市の経度（市役所を基準）は東経131度24分で宮崎市とほぼ同じ。
5.萩の沖の島々にも阿武単成火山群に属しているものがある。それはどこ？(21),大島,鯖島,見島,1,阿武単成火山群に属しているのは大島。見島はもっと古い時代の別の火山、鯖島は火山ではなく堆積岩。
6.萩城下の土塀基礎石のうち、白っぽい石はどこで調達されたもの？(26),指月山,羽賀台,見島,1,指月山から切り出された花崗岩。
7.阿武川は、萩を代表する川であるが、県内1を誇る点は何か？(35),本流の長さ,枝分かれを含めた流域面積,支流の数,3,支流が60あり、県内で1位。ちなみに流域面積は県内2位。
8.長門峡の名前を提唱したのは誰？(39),高島北海,井上剣花坊,吉田初三郎,1,かつては耶馬溪になぞらえ「長門耶馬溪」と呼ばれていたが、大正９年に画家であり地質学を学んだ高島北海の発案により「長門峡」と改名された。
9.萩沖を通る暖流は、一般には黒潮から枝分かれしたものと考えられているが、その黒潮はどこの海で誕生する？(51),九州の沖,沖縄の沖,フィリピンの沖,3,黒潮はフィリピン沖で誕生し、日本に向かって北上する。
10.約2〜1.5万年前の萩は寒かった。このことは萩の地下から植物に関連した何が見つかったことで判明した？(61),実,花粉,埋もれ木,2,花粉は保護物質で包まれているため、酸素のない地層に何万年も腐らないまま残っている。そのため、地層から見つかった花粉の種類を調べ、その植物により当時の環境を知ることができる。
11.「長門ユズキチ」の愛称で親しまれているみかん科の植物の原産地はどこ？(70),長門市仙崎,萩市川上地域,萩市田万川地域,3,長門ユズキチの原産地は萩市田万川地域で、ゆずとみかんの性質を併せ持った品種。一つの身からたくさんの果汁がとれ、刺身を食べるときに醤油に付け加えると美味。
12.笠山に寒冷地性のシダのコタニワタリやホソイノデが自生している。それらは笠山のどこに生えている？(95),風穴のまわり,山頂の火口のまわり,虎ヶ崎の海辺,1,笠山は全体として萩の他の地域と同じく温暖だが、風穴のまわりだけは夏でも涼しいため、寒冷地帯のシダが自生している。
13.近年萩には元々生息していなかったオオカナダモという水草が阿武川で繁殖している。これはどこから来たものか？(99),国内の関東地方,東南アジア,南アメリカ,3,オオカナダモは南アメリカ原産。理科の実験や観賞用として国内に持ち込まれたが、何らかの理由で野外に放されたものと考えられる。
14.イシガメやクサガメは日本各地に分布しているが、天然記念物に指定されている生息地が萩にある。それはどこ？(108),萩城跡の堀,大井川の中流,見島のため池,3,本土にも生息するイシガメやクサガメが、離島である見島にも生息していることが、見島はかつて本土と陸続きだったことを裏付ける貴重な証拠となり、国の天然記念物に指定された。
