ジャンル,難易度,問題文,選択肢A,選択肢B,選択肢C,答え,解説
自然,初級,直線距離で萩からいちばん近い首都はどれか。,東京,ソウル,北京,B,
自然,初級,山口県の最北端にある長尾ノ鼻はどの地域にあるか。,須佐,江崎,見島,C,
自然,初級,萩に活火山はあるか。,ある,ない,わかっていない,A,
自然,初級,畳ヶ淵（須佐地域弥富）にある石は、どんな形をしているか。,円柱,四角柱,六角柱,C,
自然,初級,次のうち火山でないものはどれか。,伏馬山,羽賀台,田床山,C,
自然,初級,萩の海岸で、沈む夕陽をもっとも見やすい時期はいつか。,3月下旬,6月下旬,12月下旬,B,
自然,初級,萩の「市の木」に指定されている植物はどれか。,ヒノキ,ツバキ,ハギ,A,
自然,初級,むつみ地域の伏馬山の麓一体で、一斉に咲き乱れる花は何か。,あじさい,ひまわり,チューリップ,B,
自然,初級,萩でよく食べられる海藻で、漢字で「海雲」と書くものは何か。,ワカメ,ヒジキ,モヅク,C,
自然,初級,軒下や窓を走り回る灰色のトカゲのような生き物の正体は何のなかまか。,ヤモリ,イモリ,サンショウウオ,A,
自然,初級,各地で「天狗」に例えられる動物が萩にもいるが何か。,ムササビ,オオコウモリ,テナガザル,A,
自然,初級,ツバメの体重は何ｇか,250ｇ,100ｇ,25ｇ,C,
自然,初級,萩の名産「焼きぬき蒲鉾」の主な原料となっている魚はどれか。,フグ,イワシ,エソ,C,
自然,初級,青魚に特に含まれ、肥満や認知症の予防に効くといわれる物質は何か,DNA,DHA,ATP,B,
自然,初級,萩沖の砂底で獲れる魚のうち、目が体の左側に寄っている魚はどれか。,ソウハチ,ヒラメ,アンコウ,B,
自然,初級,萩の早春の風物詩となっている、四つ手網漁で獲る魚は何か。,シロウオ,アジ,アマダイ,A,
自然,初級,萩には何種類の昆虫がすんでいるか。,500種類,"1,000種類","4,000種類",C,
自然,初級,次の中でもっとも早く鳴きはじめるセミはどれか。,ニイニイゼミ,クマゼミ,アブラゼミ,A,
自然,初級,萩に見られるハチで、もっとも危険性が高い種類はどれか。,アシナガバチ,スズメバチ,クマバチ,B,
自然,中級,緯度(南北の位置)がもっとも萩に近いものはどれか。,ロサンゼルス,ローマ,上海,A,
自然,中級,萩市とほぼ同じ面積の国はどこか。,シンガポール共和国,フィジー諸島共和国,バチカン市国,A,
自然,中級,萩市の天然記念物に指定されているものはどれか。,萩城跡の堀,明神池,明倫館の水練池,B,
自然,中級,見島は、いつごろの火山活動による噴火によってできたか。,約1万年前,約200万年前,"約1,200万年前",C,
自然,中級,笠山の黒っぽい石は、次のうちどれか。,斑れい岩,安山岩,花崗岩,B,
自然,中級,萩城下の土塀の基礎石のうち、白っぽい石はどこで調達されたか。,指月山,羽賀台,見島,A,
自然,中級,萩でいちばん高い山・男岳の高さは何ｍか。,567m,678m,789m,C,
自然,中級,萩の海に注ぐ川で、阿武川の次に本流の長さが長い川はどれか。,大井川,田万川,須佐川,A,
自然,中級,一部の海岸で、踏むと「キュッキュッ」と音がする砂を何というか。,響砂,鳴砂,音砂,B,
自然,中級,島根県の市町村で、萩市に接していないのはどこか。,益田市,浜田市,津和野町,B,
自然,中級,萩沖の日本海に流れる暖かい海流は何か。,親潮,日本海流,対馬暖流,C,
自然,中級,萩は夏みかん以外のある有名な柑橘の原産地であるが何か。,八朔,伊予柑,ぽんかん,B,
自然,中級,むつみ地域にある「辻山のシダレザクラ」の樹齢は約何年か。,約100年,約200年,約300年,C,
自然,中級,笠山の虎ヶ崎に椿群生林があるが、そのツバキの種類は何か。,ヤブツバキ,トウツバキ,ユキツバキ,A,
自然,中級,笠山虎ヶ崎周辺にある池で本当にある池の名前はどれか。,エビ池,タコ池,タイ池,A,
自然,中級,萩の沿岸に生えている、寒天や心太の材料となる海藻はどれか。　,コンブ,ヒジキ,テングサ,C,
自然,中級,野山で見られるヘビのうち、マムシ以外で毒があるのはどれか。,ヤマカガシ,シマヘビ,アオダイショウ,A,
自然,中級,萩市北片河町の地中から大きな生物の遺骸が見つかったが何か。,恐竜,アンモナイト,ウミガメ,C,
自然,中級,渡り鳥の中継地として全国に知られている島はどれか。,大島,見島,相島,B,
自然,中級,冬になると、萩市街地や人里で多く見られるようになる鳥はどれか。,カラス,スズメ,バン,C,
自然,中級,「深海魚」とは、水深何mより深い海にすむ魚のことか。,200ｍ,500ｍ,"1,000ｍ",A,
自然,中級,萩で水揚げされ食用にされるフグで、皮を食べてはならないものはどれか。,トラフグ,マフグ,シロサバフグ,B,
自然,中級,冬の萩の海岸でハリセンボンがよく打ち上げられるが、棘は約何本あるか。,"1,000本ぐらい",350本ぐらい,150本ぐらい,B,
自然,中級,かつて、吉田松陰が食べないと決意していた魚は何か。,サメ,アマダイ,フグ,C,
自然,中級,萩の磯ではウニが獲れるが、食べられるのはどの部分か。,筋肉,脳,卵巣・精巣,C,
自然,中級,萩の漁業者の間で「たぁらご(俵子)」とよばれている海の生物は何か。,ホヤ,ナマコ,ウニ,B,
自然,中級,萩に生息している次の生物のうち、昆虫はどれか。,ハサミムシ,ダンゴムシ,ムカデ,A,
自然,中級,萩に体が世界一小さい種類の昆虫がいるがどれか。,セミ,チョウ,トンボ,C,
自然,上級,ジオパークの日はいつか。,44326,44430,44459,B,
自然,上級,長門峡の名前を提唱したのは誰か。,高島北海,井上剣花坊,吉田初三郎,A,
自然,上級,萩市で、水平線から日の出と日の入りを両方見られる場所はどこか。,大井の羽賀台,笠山の虎ヶ崎,見島の長尾ノ鼻,C,
自然,上級,萩の名物となっている夏みかんの原樹はどこにあるか。,萩市堀内,萩市笠山,長門市青海島,C,
自然,上級,田万川地域にある幹回りが４m以上あるサクラは何という種類か。,ソメイヨシノ,オオシマザクラ,エドヒガン,C,
