question,answers1,answers2,answers3,correct,comment
1.ジオパークの日はいつ？(2),5月10日,8月22日,9月20日,2,ジオパークの日は5月10日5月10日は地質の日、9月20日は萩ジオパークが日本ジオパーク委員会から日本ジオパークに認定された日
2.世界ジオパークとはどんな人機関が推奨するプログラム？(3),ユニセフ,国連,ユネスコ,3,世界ジオパークは2004年から活動が始まり、2015年からはユネスコ「国際地質学ジオパーク計画」の一事業として実施されており、日本ジオパークはその地域版。
3.萩ジオパークが日本ジオパークに認定されたのは何年？(4),平成28年(2016年),平成29年(2017年),平成30年(2018年),3,平成30年9月20日に日本ジオパーク委員会が開催され、萩ジオパークの日本ジオパークネットワーク加盟が認められた。
4.萩ジオパークのエリアはどこ？(5),萩市と阿武町の全域と山口市阿東地域,萩市,萩市笠山や弥富地域などの火山活動があった場所,1,萩ジオパークのエリアは萩市、阿武町、山口市阿東地域で、面積は1107.3㎢。
5.アジア諸国の首都のうち、直線距離で萩から最も近いのはどれ？(9),東京,ソウル,北京,2,萩からソウルまで約500㎞、東京まで約800㎞、北京まで約1500㎞。
6.海外の有名首都のうち、緯度（南北の位置）が最も萩に近いものはどれ？(10),ロサンゼルス,ローマ,上海,1,緯度とは、地球上のある地点の南北の位置を表す座標のこと。萩市の緯度は（市役所を基準）北緯34度24分で、ロサンゼルスとほぼ同じ。
7.次の西日本の都市のうち、経度（東西の位置）が最も萩に近いものはどれ？(11),松山市(愛媛県),熊本市,宮崎市,3,経度は地球上のある地点の東西の位置を表す座標。萩市の経度（市役所を基準）は東経131度24分で宮崎市とほぼ同じ。
8.現在の萩市域は、ある国と面積がほぼ同じであるが、それはどこ？(12),シンガポール共和国,フィジー諸島共和国,バチカン市国,1,約699㎢でシンガポール共和国とほぼ同じ。
9.次のうち、天然記念物に指定されているものはどれ？(15),萩城跡の堀,明神池,明倫館の水蓮池,2,天然記念物に指定されているのは明神池。萩城跡の堀や水蓮池は歴史上の学術的価値が高い遺構として「史跡」に指定されている。
10.萩に活火山はある？(18),はい,いいえ,分かっていない,1,笠山は約8800万年前に噴火した活火山である。
11.見島は火山の噴火によってできたものであるが、いつ頃の火山活動でできた？(19),約1万年前,約200万年前,約1200万年前,3,今から約1200万年前、見島あたりで割れ目噴火が起き、巨大な玄武岩の溶岩大地ができた。その後水面が上がって溶岩台地の大部分が水没し、わずかに水面部分に残った部分が今の見島になった。
12.萩の沖の島々にも阿武単成火山群に属しているものがある。それはどこ？(21),大島,鯖島,見島,1,阿武単成火山群に属しているのは大島。見島はもっと古い時代の別の火山、鯖島は火山ではなく堆積岩。
13.笠山の麓には風穴がたくさんある。ここから風が出てくるのはいつ？(24),夏などの暖かい時,冬などの寒い時,寒暖に関わらずいつでも,1,風穴は、笠山の溶岩の破片の隙間にできた空間。冬に冷たい外気を溜め込み、夏に冷たい空気を吐き出す。
14.萩城下の土塀基礎石のうち、白っぽい石はどこで調達されたもの？(26),指月山,羽賀台,見島,1,指月山から切り出された花崗岩。
15.畳ヶ淵と龍鱗郷には変わった形の石が多く並んでいる。それらはどんな形？(28),円柱,四角柱,六角柱,3,畳ヶ淵も龍鱗郷も、伊良尾山の噴火で吹き出した溶岩が冷えて固まる時に収縮して六角柱の形に割れてできたもので、「柱状節理」とよばれる。
16.須佐地域の高山の山頂に、磁石石があるが、それはどんな石？(31),白っぽい石（砂岩）,赤っぽい石（安山岩）,黒っぽい石（斑れい岩）,3,斑れい岩は、色のついた鉱物をたくさん含んでいるため黒っぽく、また、磁鉄鉱が多い部分に強い磁力を持っている。
17.萩で一番高い山・男岳の高さは何メートル？(32),567m,678m,789m,3,男岳の高さは789m。県内には男岳より西に、これ以上高い山はない。
18.萩付近にはたくさんの火山があるが、次のうち火山でないものはどれ？(33),伏馬山,羽賀台,田床山,3,田床山は火山ではなく、約１億年前に火山が噴火してできた地層の一部でできている。
19.阿武川は、萩を代表する川であるが、県内1を誇る点は何か？(35),本流の長さ,枝分かれを含めた流域面積,支流の数,3,支流が60あり、県内で1位。ちなみに流域面積は県内2位。
20.長門峡の名前を提唱したのは誰？(39),高島北海,井上剣花坊,吉田初三郎,1,かつては耶馬溪になぞらえ「長門耶馬溪」と呼ばれていたが、大正９年に画家であり地質学を学んだ高島北海の発案により「長門峡」と改名された。
21.萩市の一部の海岸で見られる、踏むと「キュッキュッ」と音が鳴る砂をなんという？(43),響砂（ひびきすな）,鳴砂（なきすな・なりすな）,音砂（おとすな）,2,鳴き砂は石英の粒が多く、粒の大きさが均一、ごみが少ないなどの条件が揃っていると、踏んだ時に音がする。
22.萩で火災の発生に気を付けなければならないのは、次の気象現象のうちどれ？(44),エルニーニョ現象,ラニーニャ現象,フェーン現象,3,南からの湿った風が、中国山脈を越える時に高温の乾いた風になって萩に吹いてくるのがフェーン現象。
23.黄砂はどこから飛んでくる？(45),市内各地の砂浜,沖縄や台湾,中国やモンゴル,3,黄砂は中国やモンゴルの砂漠や乾燥地帯の砂埃が、強風で上空に巻き上げられ、日本各地に降り注ぐもの。
24.島根県の市町村で萩市に接していないのは次のうちどこ？(46),益田市,浜田市,津和野町,2,山口県の阿武町、山口市、長門市、美祢市と、島根県の益田市、津和野町と接している。
25.萩の海岸で、海に沈む夕陽を最も見やすい時期はいつ？(47),3月下旬,6月下旬,12月下旬,2,夏至（6月21日頃）に太陽が最も北寄りを通るため、海岸が北西に向いている萩ではこの頃が一番見やすい。
26.萩沖の日本海には温かい海流が流れている。それは何という海流？(50),親潮,日本海流,対暖流,3,対暖流は対馬海流ともいう。九州と朝鮮半島の間の対馬海峡を通って日本海へ流れ込み、萩の沖を通ってさらに北へと流れていく。
27.萩沖を通る暖流は、一般には黒潮から枝分かれしたものと考えられているが、その黒潮はどこの海で誕生する？(51),九州の沖,沖縄の沖,フィリピンの沖,3,黒潮はフィリピン沖で誕生し、日本に向かって北上する。
28.萩の大地は山がちで険しいのに対し、海底は平らである。このような平らな海底を何という？(53),大陸棚,海底台地,海盆,1,萩の海底は、ユーラシア大陸の沿岸から続く日本海付近で最大級の大陸棚の一部である。
29.萩の海底はどのようになっている？(54),ほぼ砂地だらけ,岩礁だらけでごつごつ,砂地の所々に岩礁がある,3,萩沖の海底はほぼ砂地で、所々に「瀬」といわれる岩礁がある。瀬の多くは火山の噴火によってできたものである。
30.日本海の萩と瀬戸内海の防府とでは、潮の満ち引きにどのような違いがある？(55),萩の方が大きく満ち引きする,防府の方が大きく満ち引きする,どちらも変わらない,2,日本海と違い、瀬戸内海はすぐ近くを陸に囲まれ、水深が浅い。そのため、月・太陽の引力による潮の満ち引きが増幅されやすい。
31.赤潮とは、海の中であるものが異常に増えて海が変色して見える現象である。あるものとは？(56),赤土,プランクトン,銅の粉末,2,赤潮とは海水中の栄養分が増加するなどの原因により、特定のプランクトンが異常に増えてジャイ水が変色して見える現象で、萩近海でも春を中心にときどき発生する。
32.日本各地に磯や浅海で起こっている、岩場の海藻が激減したり姿を消したりする現象は何？(57),磯痩せ,磯荒れ,磯焼け,3,磯焼けが続くと、海の環境が悪化したり、海藻を餌や住処としている生物が減るなどの影響が起こる。
33.萩の海岸でも見られるプラスチック製の飲料ボトルが分解されて自然界に無害になるまで何年かかる？(58),約4年,約45年,約450年,3,あるデータによると、ごみが微生物によって分解され自然界に影響を与えなくなるまでに、プラスチック瓶は約450年、釣り糸は約600年かかるという。
34.約2〜1.5万年前の萩は寒かった。このことは萩の地下から植物に関連した何が見つかったことで判明した？(61),実,花粉,埋もれ木,2,花粉は保護物質で包まれているため、酸素のない地層に何万年も腐らないまま残っている。そのため、地層から見つかった花粉の種類を調べ、その植物により当時の環境を知ることができる。
35.萩の「市の木」に指定されているのは次のうちどれ？(62),ヒノキ,ツバキ,ハギ,1,「市の木」はヒノキとマツ。ツバキとハギは「市の花」。そのほか、夏みかんは「市の果樹」に指定されている。
