question,answer1,answer2,answer3,correct,comment
1.現在の萩市域は、ある国と面積がほぼ同じであるが、それはどこ？(12),シンガポール共和国,フィジー諸島共和国,バチカン市国,1,約699㎢でシンガポール共和国とほぼ同じ。
2.笠山の麓には風穴がたくさんある。ここから風が出てくるのはいつ？(24),夏などの暖かい時,冬などの寒い時,寒暖に関わらずいつでも,1,風穴は、笠山の溶岩の破片の隙間にできた空間。冬に冷たい外気を溜め込み、夏に冷たい空気を吐き出す。
3.須佐地域の高山の山頂に、磁石石があるが、それはどんな石？(31),白っぽい石（砂岩）,赤っぽい石（安山岩）,黒っぽい石（斑れい岩）,3,斑れい岩は、色のついた鉱物をたくさん含んでいるため黒っぽく、また、磁鉄鉱が多い部分に強い磁力を持っている。
4.萩の海岸で、海に沈む夕陽を最も見やすい時期はいつ？(47),3月下旬,6月下旬,12月下旬,2,夏至（6月21日頃）に太陽が最も北寄りを通るため、海岸が北西に向いている萩ではこの頃が一番見やすい。
5.萩の大地は山がちで険しいのに対し、海底は平らである。このような平らな海底を何という？(53),大陸棚,海底台地,海盆,1,萩の海底は、ユーラシア大陸の沿岸から続く日本海付近で最大級の大陸棚の一部である。
6.萩の海底はどのようになっている？(54),ほぼ砂地だらけ,岩礁だらけでごつごつ,砂地の所々に岩礁がある,3,萩沖の海底はほぼ砂地で、所々に「瀬」といわれる岩礁がある。瀬の多くは火山の噴火によってできたものである。
7.萩の海岸でも見られるプラスチック製の飲料ボトルが分解されて自然界に無害になるまで何年かかる？(58),約4年,約45年,約450年,3,あるデータによると、ごみが微生物によって分解され自然界に影響を与えなくなるまでに、プラスチック瓶は約450年、釣り糸は約600年かかるという。
8.夏みかんはさまざまな名前で呼ばれるが、標準和名は何？(64),夏みかん（夏蜜柑）,ナツカン（夏柑）,ナツダイダイ（夏橙・夏代々）,3,夏みかんの標準名はナツダイダイ。夏みかんという呼び方は、明治半ばに大阪の問屋の勧めで「夏蜜柑」という商品名が付けられ、それが一般にも広がった。
9.ワカメは萩で春の食材として重宝されているが、その葉で一番新しい部分はどこ？(102),上に伸びた葉の先端,左右に広がった葉の両端,根本近く,3,ワカメの成長帯は茎と葉の境界部にあたるため、根本に近いほど新しい。逆に先端ほど古く、痛んだり破れたりしていることが多い。
10.萩の沿岸に生えている、寒天や心太の材料となる海藻はどれ？(103),コンブ,ヒジキ,テングサ,3,テングサの標準名はマクサで、萩にはたくさん見られる。日光で干してさらし、白くなったものを煮溶かして寒天や心太を作る。
11.江戸時代の文献にも記され、かつては阿武川の岸辺などに生息していたが、今では全く見られなくなってしまった動物は？(105),アライグマ,オオサンショウウオ,ニホンカワウソ,3,江戸時代にはニホンカワウソが萩を含む県内各地の川辺や岸辺に生息していた。明治以降に毛皮の採取や河川の改修などにより絶滅したとされる。
12.木から木へと飛び移り、各地で「天狗」に例えられている動物が萩にもいるが、それは何？(112),ムササビ,オオコオモリ,テナガザル,1,ムササビはリスに近い哺乳類。かつて椿地区で目撃されたり椿東地区で捕獲されたことがあり、現在でも広い森が続くしない各地の山地や寺社林などに生息していると考えられている。
13.ツバメは東南アジアから萩までに約200kmを飛んでやってくる。その体重は約何g？(124),250g,100g ,25g,3,体重わずか25gの小鳥が、何千kmもの距離を飛んで渡ってくる。春に日本に渡来し、雛の餌となる昆虫がたくさん発生する稲作の時期に合わせて巣作りをする。
14.萩には昔から深海魚がしばしば出没するが、「深海魚」とは水深何mより深い海に住む魚のこと？(129),200m,500m,1000m,1,水深200mより深い海を「深海」と言う。萩の海は大陸棚が広がっているため水深が200m内にも関わらず、リュウグウノツカイやシャチブリなどの深海魚がしばしば出没する不思議な海として知られている。
15.萩のブランド魚のアマダイは生きている時どのような生活をしている？(134),群れをなして海面近くを回遊している,岩に生えた海藻の間に潜む,海底の砂に巣穴を掘って潜む,3,海底の砂に巣穴を掘って顔だけを出してひそみ、目の前を通るエビやカニなどを襲って食べる。
16.冬場に萩で出回ることがある、3~4kgのクロマグロの子どもはなんとよばれる？(137),ぼてこ,さしご,よこわ,3,3~4kgの若い魚は頭を上にした時に横に輪をかけたような縞があるため「よこわ（横輪）」とよばれる。
17.萩の海にも時々現れ、大量をもたらす「福の神」としてありがたがられている大きな魚は？(146),ジンベエザメ,クロマグロ,オニイトマキエイ（マンタ）,1,ジンベエザメの体長は4mから最大で14mにもなる世界最大の魚。プランクトンなどを食べるおとなしいサメで、周りに小魚が身を守るため群がり、それを追ってカツオなどがやってくる。
18.萩の海で見つけることのできるタカラガイ（別名コヤスガイ）はかつて古代中国で人類初の何として使われた？(160),印鑑,矢尻,貨幣,3,タカラガイは人類初の貨幣として使われた。タカラガイにも色々な種類があるが、特にキイロガイという種類は貨幣として使われただけでなく、漢字「貝」のモデルにもなった。お金に関した漢字に「貝」の部首が使われるのもこれが理由。
