question,choices1,choices2,choices3,answer,comment
1.萩地方で元旦に飲む大福(おおふく)と呼ぶ茶の中に入れるものは何？(1),梅干し,フグの干物,黒砂糖,1,萩市三島においては、年越しの行事を、大晦日の深夜に行う。大福茶（福茶ともいう）という梅干しの入ったお茶と共に、オフクラカシと呼ぶ小餅を焼いたものをいただく。
2.見島では正月に６畳から８畳分もある鬼の絵を描いた鬼ヨウズと呼ばれる凧をあげるが、その目的は？(3),豊作の祈願,火難除けの祈願,男児の成長の祈願,3,男児の生まれた家の親戚知人が年末に材料を持って集まり、大きなヨウズを作る。正月にこれを上げ、高く上がれば上がるほど元気に育つと言われている。
3.見島では正月の間に口にしてはならない「忌み言葉」があるが、その中で「寝る」という言葉は何と言い換える？(4),稲を積む,若水を汲む,機（はた）を折る,1,三島では正月の間に口にしてはならない「忌み言葉」が幾つかあり、別の言葉に言い換える風習がある。そのうち「寝る」という言葉は「稲を積む」と言い換える。
4.萩市内で節分の日の深夜、厄落としの目的で豆を歳の数ほど紙に包んだものを捨て置く場所はどこ？(5),便所の傍ら,門の傍ら・敷地の境,四つ角,3,厄落しの儀礼は節目の日にこの世とあの世の境界に行って生まれ変わって帰ってくることを象徴して行う。四つ角は例えば町と町の境であり、様々な人やものが行き交う場所で、この世とあの世が交わる場所と考えられた。
5.むつみ地域の高佐下陰畑の「景(かげ)の河内(こうち)様」は、なんの神様？(7),火の神,天の神,水の神,3,景の河内様は水の神として祀られており、旧藩士内藤氏の給領地の五穀豊穣を祈念するため旧暦2月24日（現在は3月24日）にその年の作柄と水量を占う。
6.毎年4月29日に川上で実施される川上地域の無形文化財の行事はなに?(9),的まつり,義民おどり,神楽舞,1,的を怪物の目、頭、銅に見立てて次々に射的して退治し、五穀豊穣を祈念する。
7.かつて萩地方の端午の節句において、家紋を染め抜いた大漁旗状の旗を上げていたが、それをなんと呼ぶ？(10),ジバン,フラフ,ラーフル,2,フラフはオランダ語のvlagが訛ったものとされる。ちなみにジバンは襦袢のことでポルトガル語が語源、ラーフルは黒板ふきのことで、オランダ語が語源とされる。
8. 大島で雛の節句を祝う際に、良縁に恵まれるようにと雛壇に供えるものは何？(11),アワビとサザエ,男女の紙人形,男女の帯,1,大島では雛壇にアワビとサザエをお供えする。萩地方では新暦4月3日に女児のある家で雛の節句を祝い、それをみに来る近所の人を接待するという風習もある。
9.萩地方の端午の節句で、魔除けとして軒端に挿したり、屋根に上げたりしていたのは菖蒲と何？(12),ヒイラギ,トラベ,ヨモギ,3,端午の節句では魔除けとして菖蒲（花菖蒲とは異なる）もヨモギが使われる。ヒイラギやトラべは節分の日に使われる。
10.玉江や越ヶ浜の和船競走において、船尾の櫓(ろ)は船のどちらがえわの舷で漕ぐ？(15),左舷側,右舷側,両方の舷,2,全国的には左舷側で漕ぐことが多いが、島根県の西部あたりから山口県の日本海沿岸、北九州の一部においては右舷側で漕ぐ。
