question,choices1,choices2,choices3,answer,comment
1.萩市内で節分の日の深夜、厄落としの目的で豆を歳の数ほど紙に包んだものを捨て置く場所はどこ？(5),便所の傍ら,門の傍ら・敷地の境,四つ角,3,厄落しの儀礼は節目の日にこの世とあの世の境界に行って生まれ変わって帰ってくることを象徴して行う。四つ角は例えば町と町の境であり、様々な人やものが行き交う場所で、この世とあの世が交わる場所と考えられた。
2.かつて萩地方の端午の節句において、家紋を染め抜いた大漁旗状の旗を上げていたが、それをなんと呼ぶ？(10),ジバン,フラフ,ラーフル,2,フラフはオランダ語のvlagが訛ったものとされる。ちなみにジバンは襦袢のことでポルトガル語が語源、ラーフルは黒板ふきのことで、オランダ語が語源とされる。
3.萩地方では旧暦8月1日に八朔の節句に様々なものを送り合っていたが、子どもの生まれた家に送ったものは何？(20),幟旗,サラシ布,土人形,3,子どもの生まれた家には土人形が送られ、現在も素朴な土人形が数多く伝わっている。
4.天神祭において、川島地区から奉納される「聖」と呼ばれる山車の一種は、何人で担ぐ？(32),1人,4人,8人,1,「聖」は、高野聖が背負っていた笈(おい)と呼ばれる箱を華やかに飾ったもので、1人で担ぐ。
5.萩地方では、初物を食べるときにある方角を向いて笑うという風習が伝えられているが、その方角は？(37),東,西,南,1,東を向いて笑うことで、またその食べ物を口にすることができるとされており、山口県下には収穫を祝い、翌年の豊作を祈願する笑い祭が伝わっている。なぜ東を向くかについては残念ながら伝えられていない。
6.阿武川や橋本川、松本川、三角州内の藍場川や新堀川に設けられた船着場を何と呼ぶ？(46),ガンギ,フナザ,ハトバ,3,ハトバ、またはハタバと呼ばれている。
7.萩城下町で寺院と墓が多いことから、萩の町には何が多いと言われた？(53),駄菓子屋,蚊,カラス,2,墓の花立てにボウフラが発生することから、城下百ヶ寺と言われる寺院と墓の多さ例示として、蚊が多いと言われた。
8.萩城下の町屋で、建具や柱、天井板などうに防腐防水処理のために塗ったものはどれ？(54),漆,柿渋,菜種油,2,未熟な青い柿を砕いて水と合わせ発酵させた柿渋を、防腐防水目的で建物をはじめ、ざるや桶など様々なものに塗った。
9.萩地方で花嫁が婚家に腰を落ち着けるようにと、婚礼の際に持ち込まれるものは何？(67),地蔵,石臼,米俵,1,新郎の友人や近所の人たちが、地域の地蔵に化粧を施し持ち込み、婚礼の後新郎新婦がよだれかけを新調し元の場所に戻す。
10.萩地方で生児が親や祖母に連れられて初めて宮参りするのは、生後何日ごろ？(68),33日前後,49日前後,110日前後,3,百日（ももか）参りと呼び、地域によっては男児は110日目、女児は120日目に宮参りする。
11.かつて萩地域では「全然」をどう発音していた？(75),ジェンジェン,センセン,デンデン,3,萩地域では座布団はダブトン、全部はデンブなど、ざ行をだ行で発音することが多かった。
12.大井地区で「ほぼろをふる」とはどんな意味？(77),ぼろを着る,養子にに行く,嫁が逃げ帰る,3,何かの理由で嫁が嫁ぎ先を出て実家へ帰ることをいう。「ほぼろ」は藁で作った袋状の入れ物。
13.昔むつみ地域で竜巻に巻き込まれ2人の姫が亡くなったと言われる物語は何？(92),瓜子物語,御舟子物語,空舟物語,2,御舟物語で竜巻に巻き込まれた2人の姫は、天の声により水の抜かれた湖の底から亡骸が見つけ出された。
14.夏みかんは明治9年以前は果物ではなく、果汁を食用酢として使用したが、それは何と呼ばれた？(101),ポン酢,萩酢,生酢,3,萩地方では夏みかんが果物として出回る前は酢の代わりに使い、これを「生酢」とよんだ。ちなみにオランダ語で柑橘の搾り汁をポンスと呼ぶ。
15.萩地方でカタシと呼ぶある植物は、種から油を摂ることができる。このある植物とは？(107),ゴマ,大豆,椿,3,萩地方では椿をカタシとも呼ぶ。椿油は髪の毛や刃物の手入れに用いられる。
16.県内有数のスイカの産地である相島では、連作に強いある植物にスイカの芽を接いで苗を作るが、そのある植物とは？(128),カボチャ,ヘチマ,ユウガオ,3,耕地の広さの関係で、同じ畑で連作をする必要があるため、連作に強いユウガオを台とする。
17.大島や相島では葉タバコやスイカの栽培が盛んになる前に、除虫菊の栽培が行われていた。この除虫菊は何に使われた？(129),防虫剤,蚊取り線香,農薬,2,大島や相島は火山のため、温暖で水はけが良い土地をいかし、蚊取り線香に使われる除虫菊の栽培が行われていた。
