question,answers1,answers2,answers3,correct,comment
2.ジオパークの日はいつか？,5月10日,8月22日,9月20日,2,5月10日は地質の日、9月20日は萩ジオパークが日本ジオパーク委員会から日本ジオパークに認定された日
3.世界ジオパークとはどんな人機関が推奨するプログラム？,ユニセフ,国連,ユネスコ,3,世界ジオパークは2004年から活動が始まり、2015年からはユネスコ「国際地質学ジオパーク計画」の一事業として実施されており、日本ジオパークはその地域版。
4.萩ジオパークが日本ジオパークに認定されたのは何年？,平成28年(2016年),平成29年(2017年),平成30年(2018年),3,平成30年9月20日に日本ジオパーク委員会が開催され、萩ジオパークの日本ジオパークネットワーク加盟が認められた。
5.萩ジオパークのエリアはどこ？,萩市と阿武町の全域と山口市阿東地域,萩市,萩市笠山や弥富地域などの火山活動があった場所,1,萩ジオパークのエリアは萩市、阿武町、山口市阿東地域で、面積は1107.3㎢。
9.アジア諸国の首都のうち、直線距離で萩から最も近いのはどれ？,東京,ソウル,北京,2,萩からソウルまで約500㎞、東京まで約800㎞、北京まで約1500㎞。
10.海外の有名首都のうち、緯度（南北の位置）が最も萩に近いものはどれ？,ロサンゼルス,ローマ,上海,1,緯度とは、地球上のある地点の南北の位置を表す座標のこと。萩市の緯度は（市役所を基準）北緯34度24分で、ロサンゼルスとほぼ同じ。
11.次の西日本の都市のうち、経度（東西の位置）が最も萩に近いものはどれ？,松山市(愛媛県),熊本市,宮崎市,3,経度は地球上のある地点の東西の位置を表す座標。萩市の経度（市役所を基準）は東経131度24分で宮崎市とほぼ同じ。
12.現在の萩市域は、ある国と面積がほぼ同じであるが、それはどこ？,シンガポール共和国,フィジー諸島共和国,バチカン市国,1,約699㎢でシンガポール共和国とほぼ同じ。
15.次のうち、天然記念物に指定されているものはどれ？,萩城跡の堀,明神池,明倫間の水蓮池,2,萩城跡の堀や水蓮池は歴史上の学術的価値が高い遺構として「史跡」に指定されている。
18.萩に活火山はある？,はい,いいえ,分かっていない,1,笠山は約8800万年前に噴火した活火山である。
19.見島は火山の噴火によってできたものであるが、いつ頃の火山活動でできた？,約1万年前,約200万年前,約1200万年前,3,今から約1200万年前、見島あたりで割れ目噴火が起き、巨大な玄武岩の溶岩大地ができた。その後水面が上がって溶岩台地の大部分が水没し、わずかに水面部分に残った部分が今の見島になった。
21.萩の沖の島々にも阿武単成火山群に属しているものがある。それはどこ？,大島,鯖島,見島,1,見島はもっと古い時代の別の火山、鯖島は火山ではなく堆積岩。
24.笠山の麓には風穴がたくさんある。ここから風が出てくるのはいつ？,夏などの暖かい時,冬などの寒い時,寒暖に関わらずいつでも,1,風穴は、笠山の溶岩の破片の隙間にできた空間。冬に冷たい外気を溜め込み、夏に冷たい空気を吐き出す。
26.萩城下の土塀基礎石のうち、白っぽい石はどこで調達されたもの？,指月山,羽賀台,見島,1,指月山から切り出された花崗岩。
28.畳ヶ淵と龍鱗郷には変わった形の石が多く並んでいる。それらはどんな形？,円柱,四角柱,六角柱,3,畳ヶ淵も龍鱗郷も、伊良尾山の噴火で吹き出した溶岩が冷えて固まる時に収縮して六角柱の形に割れてできたもので、「柱状節理」とよばれる。
