question,answer1,answer2,answer3,correct,comment
3.世界ジオパークとはどんな人機関が推奨するプログラム？,ユニセフ,国連,ユネスコ,3,世界ジオパークは2004年から活動が始まり、2015年からはユネスコ「国際地質学ジオパーク計画」の一事業として実施されており、日本ジオパークはその地域版。
5.萩ジオパークのエリアはどこ？,萩市と阿武町の全域と山口市阿東地域,萩市,萩市笠山や弥富地域などの火山活動があった場所,1,萩ジオパークのエリアは萩市、阿武町、山口市阿東地域で、面積は1107.3㎢。
19.見島は火山の噴火によってできたものであるが、いつ頃の火山活動でできた？,約1万年前,約200万年前,約1200万年前,3,今から約1200万年前、見島あたりで割れ目噴火が起き、巨大な玄武岩の溶岩大地ができた。その後水面が上がって溶岩台地の大部分が水没し、わずかに水面部分に残った部分が今の見島になった。
32.萩で一番高い山・男岳の高さは何メートル？,567m,678m,789m,3,県内には男岳より西に、これ以上高い山はない。
44.萩で火災の発生に気を付けなければならないのは、次の気象現象のうちどれ？,エルニーニョ現象,ラニーニャ現象,フェーン現象,3,南からの湿った風が、中国山脈を越える時に高温の乾いた風になって萩に吹いてくるのがフェーン現象。
50.萩沖の日本海には温かい海流が流れている。それは何という海流？,親潮,日本海流,対暖流,3,対馬海流ともいう。九州と朝鮮半島の間の対馬海峡を通って日本海へ流れ込み、萩の沖を通ってさらに北へと流れていく。
55.日本海の萩と瀬戸内海の防府とでは、潮の満ち引きにどのような違いがある？,萩の方が大きく満ち引きする,防府の方が大きく満ち引きする,どちらも変わらない,2,日本海と違い、瀬戸内海はすぐ近くを陸に囲まれ、水深が浅い。そのため、月・太陽の引力による潮の満ち引きが増幅されやすい。
57.日本各地に磯や浅海で起こっている、岩場の海藻が激減したり姿を消したりする現象は何？,磯痩せ,磯荒れ,磯焼け,3,磯焼けが続くと、海の環境が悪化したり、海藻を餌や住処としている生物が減るなどの影響が起こる。
63.「萩といえば夏みかん」と言われるが、夏みかんの源樹はどこにある？,萩市堀内,萩市笠山,長門市青海島,3,江戸時代の中頃に西本於長が大日比に流れ着いた果実の種を植えたのが始まりとされ、今でも大日比に原樹が残っている。
73.ミドリヨシノは、ソメイヨシノと比較してどのような特徴がある？,花びらが緑色,がくが緑色,雄しべが緑色,2,ソメイヨシノは花びらが薄桃色で、がく（花びらを支える所）が紅色。ミドリヨシノは花びらが白色でがくが緑色のため、遠くから見ると梨の花のように見える。
76.むつみ地区にある県指定天然記念物「辻山のシダレザクラ」の樹齢は何年？,約100年,約200年,約300年,3,「辻山のシダレザクラ」の樹形は、樹高15.8m、主幹の目通り幹囲は226cm、樹齢は300年とされている。
80.萩市内に江戸時代からの松の古木が多かったものの、現在かなり現象している松の種類は何？,アカマツ,クロマツ,カラマツ,2,萩は県内でも特にクロマツが多いところだったが、松食い虫や、一説では環境汚染などの影響もあり、松枯れが進んでいる。
83.三見地区にはバクチの木と呼ばれる全国有数の巨木がある。この名前の由来は？,博打に勝った姿,爆竹のように弾ける様子,博打に負けた姿,3,樹皮が大きく剥がれる様子を、博打に負けたものが「身ぐるみを剥がされる様子」に例えて名付けられた。
